2026-04-09 14:06:41.235 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=382ms | DESC=User login attempt | ERROR=-
2026-04-09 14:07:10.475 [AUDIT] ACTION=VIEW_REPORT | RESOURCE=LeaveReport | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=36ms | DESC=Leave balance report | ERROR=-
2026-04-09 14:07:25.473 [AUDIT] ACTION=VIEW_REPORT | RESOURCE=LeaveReport | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=22ms | DESC=Leave balance report | ERROR=-
2026-04-09 14:07:34.997 [AUDIT] ACTION=VIEW_REPORT | RESOURCE=LeaveReport | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=14ms | DESC=Leave history report | ERROR=-
2026-04-09 14:07:41.218 [AUDIT] ACTION=VIEW_REPORT | RESOURCE=LeaveReport | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=10ms | DESC=Leave history report | ERROR=-
2026-04-09 14:09:01.729 [AUDIT] ACTION=VIEW_REPORT | RESOURCE=LeaveReport | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=5ms | DESC=Leave request report | ERROR=-
2026-04-09 14:09:09.210 [AUDIT] ACTION=VIEW_REPORT | RESOURCE=LeaveReport | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=7ms | DESC=Leave request report | ERROR=-
2026-04-09 14:09:14.992 [AUDIT] ACTION=VIEW_REPORT | RESOURCE=LeaveReport | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=24ms | DESC=Leave type usage report | ERROR=-
2026-04-09 14:09:21.271 [AUDIT] ACTION=VIEW_REPORT | RESOURCE=LeaveReport | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=7ms | DESC=Leave trends report | ERROR=-
2026-04-09 14:09:27.400 [AUDIT] ACTION=VIEW_REPORT | RESOURCE=LeaveReport | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=4ms | DESC=Leave trends report | ERROR=-
2026-04-09 14:09:39.026 [AUDIT] ACTION=VIEW_REPORT | RESOURCE=LeaveReport | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=12ms | DESC=Leave encashment report | ERROR=-
2026-04-09 14:09:50.757 [AUDIT] ACTION=VIEW_REPORT | RESOURCE=LeaveReport | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=4ms | DESC=Leave approval report | ERROR=-
